Asset,Name,Available,Pending,Held,AssetID
SMCN,SafeMineCoin,0.00000000,0.00000000,0.00000000,64c7db5fae048d3bfc2ad572
SOL,Solana,0.00000000,0.00000000,0.00000000,642ee5122db3ed0ee2184356
SOLITON,Soliton,0.00000000,0.00000000,0.00000000,65564275cf6aae24e3c292b3
SUBI,Subi Network,0.00000000,0.00000000,0.00000000,655bd3a48f7824e46406dc7d
TAJ,Tajcoin,0.00000000,0.00000000,0.00000000,65383856422c6bec7d870f77
TON,Toncoin,0.00000000,0.00000000,0.00000000,643bc79263d88c91f48b9c88
TRRXITTE,TRRXITTE International,0.00000000,0.00000000,0.00000000,6540f51965711667f3d1fddd
TRX,TRON,0.00000000,0.00000000,0.00000000,642ee539852fe4f74b2413c4
TSUKA,Dejitaru Tsuka,0.00000000,0.00000000,0.00000000,645a8d5185d3f542accdcd95
TUSD,TrueUSD,0.00000000,0.00000000,0.00000000,64e39b851ea8900634118e90
TXBIT,Txbit,0.00000000,0.00000000,0.00000000,643ebfe6e647a3a65b8d10a9
TZU,Sun Tzu,0.00000000,0.00000000,0.00000000,64c14de97358e26558470b95
UNI,Uniswap,0.00000000,0.00000000,0.00000000,643bc59394839b7ce37c7334
USDC,USD Coin,0.00000000,0.00000000,0.00000000,643bc93a3b0efcbba25f0b79
USDT,Tether USDT,0.01679526,0.00000000,0.00000000,64367cb8fff6d79a1a316869
VAL,Validity,0.00000000,0.00000000,0.00000000,6532fd55112564ebf42768ad
VEIL,VEIL,0.00000000,0.00000000,0.00000000,64fa6867eeb5d87e24bc9f6a
VERI,Veritaseum,0.00000000,0.00000000,0.00000000,64caf963562fa4f55aefbcf8
VRSC,Verus Coin,0.00000000,0.00000000,0.00000000,64d4d174c94ca8eb15dd2921
WAGE,Digiwage,0.00000000,0.00000000,0.00000000,6570bac75ec7efaf68d92691
WOW,Wownero,0.00000000,0.00000000,0.00000000,649f45065e4c7b6cdffc75ab
WRY,Wrapped Ycash,0.00000000,0.00000000,0.00000000,6501c242da08f2dbacd57661
XCCX,BlockChainCoinX,0.00000000,0.00000000,0.00000000,64ed126f1ce7c02808fa1cb2
XEQ,Equilibria,0.00000000,0.00000000,0.00000000,64667be36f587c96450b1532
XHV,Haven Protocol,0.00000000,0.00000000,0.00000000,649c231de95e0a0557c0f980
XLA,Scala,0.00000000,0.00000000,0.00000000,64a730fa318766fdb3cfd5ac
XMR,Monero,0.00005336,0.00000000,0.00000000,642eb7ec9106435b5c57a7ed
XNA,Neurai,0.00000000,0.00000000,0.00000000,64c93fc90d0dc99434df89b8
XPE,Xpense,0.00000000,0.00000000,0.00000000,652fcbc129f91306857e7968
XRP,XRP,0.00000000,0.00000000,0.00000000,642ee424985039083f049273
XTCASH,traaittCASH,0.00000000,0.00000000,0.00000000,655fad263f26eecfbc294949
XTE,TRAAITT,0.00000000,0.00000000,0.00000000,655b661251701cc9fdb92322
XUSD,xUSD,0.00000000,0.00000000,0.00000000,654cf8489d22678b5a908361
XVG,Verge,0.00000000,0.00000000,0.00000000,64b765ff5d6dc31c9e2fe6a2
XVG-ERC20,Verge ERC20,0.00000000,0.00000000,0.00000000,65397edcdf2d599fdda5cca0
YEC,Ycash,0.00000000,0.00000000,0.00000000,6501a6a59b33438aab7bd364
ZANO,Zano,0.00000000,0.00000000,0.00000000,644528f5a67488175999967c
ZEC,Zcash,0.00000000,0.00000000,0.00000000,653474d526a924342f913fa8
ZEPH,Zephyr Protocol,0.00000000,0.00000000,0.00000000,6479ffe004c1e62488f61591
ZRS,Zephyr Reserve Share,0.00000000,0.00000000,0.00000000,652ef67ba231d48bb4ebda71
ZSD,Zephyr Stable Dollar,0.00000000,0.00000000,0.00000000,652ef660b25a0d2343d8057e
